title,videoUrl,channelName,channelUrl,videoId,label,label_source,label_version,label_confidence,categoryId
the hardest math test,https://www.youtube.com/watch?v=utXyHKcb9GM,gohar khan,https://www.youtube.com/channel/UCPk2s5c4R_d-EUUNvFFODoA,utXyHKcb9GM,1,category,cat-v1,0.6,27
calculus at a fifth grade level,https://www.youtube.com/watch?v=TzDhdvVg9_c,lukey b the physics g,https://www.youtube.com/channel/UC3cRUKVHL5tk44KzyXbV7Cg,TzDhdvVg9_c,1,category,cat-v1,0.6,27
math integration timelapse  reallife application of calculus math maths justicethetutor,https://www.youtube.com/watch?v=IuOLMNX9zaU,justice shepard,https://www.youtube.com/channel/UC4UdwOtQsRxmhwkfTQXF5Qg,IuOLMNX9zaU,1,category,cat-v1,0.6,27
be lazy,https://www.youtube.com/watch?v=m6ltzaOpPl8,oxford mathematics,https://www.youtube.com/channel/UCLnGGRG__uGSPLBLzyhg8dQ,m6ltzaOpPl8,1,category,cat-v1,0.6,27
vectors  chapter 1 essence of linear algebra,https://www.youtube.com/watch?v=fNk_zzaMoSs,3blue1brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,fNk_zzaMoSs,1,category,cat-v1,0.6,27
you can now preorder my math tricks book 🥳 i hope this helps calculus mathtrick math,https://www.youtube.com/watch?v=uxL04QhqJwk,pink pencil,https://www.youtube.com/channel/UCvqt9r_vhZVJtmeImy6eyMA,uxL04QhqJwk,1,category,cat-v1,0.6,27
the essence of calculus,https://www.youtube.com/watch?v=WUvTyaaNkzM,3blue1brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,WUvTyaaNkzM,1,category,cat-v1,0.6,27
calculus 1  full college course,https://www.youtube.com/watch?v=HfACrKJ_Y2w,freecodecamporg,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,HfACrKJ_Y2w,1,category,cat-v1,0.6,27
calculus 1  introduction to limits,https://www.youtube.com/watch?v=YNstP0ESndU,the organic chemistry tutor,https://www.youtube.com/channel/UCEWpbFLzoYGPfuWUMFPSaoA,YNstP0ESndU,1,category,cat-v1,0.6,27
how to solve math percentage word problem,https://www.youtube.com/watch?v=7G7UIQStEIk,math vibe,https://www.youtube.com/channel/UC2o9Vjg9g2mS6QPFGMV8duQ,7G7UIQStEIk,1,category,cat-v1,0.6,27
introduction to limits  limits  differential calculus  khan academy,https://www.youtube.com/watch?v=riXcZT2ICjA,khan academy,https://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g,riXcZT2ICjA,1,category,cat-v1,0.6,27
differential equations a tourists guide  de1,https://www.youtube.com/watch?v=p_di4Zn4wz4,3blue1brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,p_di4Zn4wz4,1,category,cat-v1,0.6,27
indefinite integral  basic integration rules problems formulas trig functions calculus,https://www.youtube.com/watch?v=o75AqTInKDU,the organic chemistry tutor,https://www.youtube.com/channel/UCEWpbFLzoYGPfuWUMFPSaoA,o75AqTInKDU,1,category,cat-v1,0.6,27
