video_id,educational
nf26Yv5JTOc,True
CT5CVpOVAoY,True
6oPWYnYJWZs,True
xrrULM-eCtw,True
hj2sa6xxq2A,True
GEr2GCugwdg,True
v1C4FutndXg,True
7L1EaURmvDs,True
4hMeMtgF81o,True
tQ9f-MvUXe8,True
B9n9fZWXNBk,True
fLhcwmA1Oeg,True
tyU7e3m9lIo,True
lGJw0QS1Y9w,True
Ifw30qzDj3M,True
jppj2KKJpk8,True
qB8Wkm5hzAk,True
eNYxU7eqwCQ,True
JJ5Cq6I9lbs,True
qCDSfihEhno,True
028VyNbK2bY,True
pRlQm260_Dw,True
iH3npL4WTDM,True
t4RdDaTLcjY,True
p8918BiV01c,True
Ps7jwrpbE-4,True
Q7-mCKOzNUI,True
7b3FKRPVg9o,True
87zifNe2tjc,True
7GF78YQz62w,True
zey9DSS1LOU,True
8kFFg5jAoQc,True
Zl92WCm30bU,True
c8K_FSLtceQ,True
Qj1HvrSKLqY,True
IYwk6EwPmCg,True
DB7dSaro4cE,True
iBmoqczj7xs,True
TxoAbm57ELE,True
TT7ZUJGPqos,True
8sgl_wzzQUY,True
KVV8pUOap2I,True
CD_HqiEdNOw,True
sHlazW9s_g8,True
CZwgOqxScB4,True
uuY13aUtFUo,True
W3UXsbuY7HI,True
oCCpgzr2rsI,True
Bdtw2aGHSgA,True
ADAO362VFjg,True
jr9dgXI35gc,True
fY0i4fIYk8c,True
AQ6HK_RmeUY,True
yw663kAdh3g,True
w054faxrdQA,True
A2dnqpkolZE,True
Uq9msOUNhVU,True
kUvVTSpfVF4,True
F0I567pN2X8,True
B8bya6BpBws,True
jGchwjj3Ewk,True
t-kbH0lGbJM,True
u4UjA_uLr2I,True
jWZG62rxrVw,True
CHGtTRjAMPo,True
M1XAGB5r3HE,True
sMik9sSp_7c,True
lpZhlzhUz6w,True
zUQtZhvatis,True
oPFP9SZnoRs,True
YkG_b02j3eo,True
JDixrkU1pp4,True
GgzR-RSfc9U,True
szwo6bqpwwE,True
XHXC0uOLOkA,True
elDPvihPN4k,True
FgyEIjQ0cr4,True
b2Fon62HgOk,True
OUGdt2Ab0VM,True
_wx8XooVlVs,True
evUZ0MGseJY,True
YPJKlPxMilo,True
WtfOaS_qZrM,True
SkSItIS_Xl0,True
rO9pOJbvkEA,True
KkWD6RsSAc0,True
3ttJmCQG57A,True
x0xJNs8EKcc,True
A0z7Vs1tnZs,True
TY8p32K1js4,True
_URf07Rb_EU,True
9peemRxUtkE,True
dJoBnnCTP5M,True
0pF6ZLCxceM,True
ALWp-RMMP5k,True
vOBjtotp-Gw,True
g-Ff2A4B358,True
YYpy0cM-GSE,True
i13h9MO4Zuk,True
7u98x3_r4_A,True
vRyoEoyXCEU,True
5XrS3DHMFeY,True
O18-FA83BaM,True
SzC11Ce-ID8,True
asbbhyHBSKU,True
__nlupHISg0,True
Bl2-u7HcheQ,True
j1EXBeBA89w,True
4UJTtk_2ly0,True
A-oxDZ3AO74,True
mpRJhhbKLFc,True
43qXqa8Q8o4,True
Jp4m3kbE1gA,True
eBYqlmS4A-E,True
R03DjtCPkGE,True
M-3qLdJT0ZM,True
HdX6dNIlCQI,True
uyKhCeDoK4Q,True
Q8M3Il0Zv68,True
cJx9ol2wKv0,True
BLKRcQR12oM,True
D4qXsq7g6-k,True
OFVa1LelZN4,True
PF9prMWA7_I,True
EbfPPuX73R4,True
Pv9HuVH9BbY,True
Hb-w7qpWNsE,True
_bt-3ybbZrM,True
65_8t1OEZSc,True
JyJ6K_n5bIM,True
fWFwArI8jZQ,True
kJT1lTAFMFI,True
guwSz7ieOqQ,True
b71He4uepM4,True
hIMIsbLodzM,True
dZXJnmhGd2k,True
bKZXF-7E9f8,True
rwNYwOLtJ4k,True
3foYyPDp0Ho,True
Dlsa9EBKDGI,True
RQWpF2Gb-gU,True
XX8mjBXBqz8,True
aQwEJKWATlE,True
aw-8BhCilj0,True
M6LUPYsjods,True
mHya9J9pkq4,True
C8baNzpnZ7o,True
6dTyOl1fmDo,True
TZAC0WFemvE,True
YP1mMXRCnaI,True
gzbFNnTCkqQ,True
drmphB3rdHY,True
hFMaT9oRbs4,True
9s0srZneJ38,True
YdOXS_9_P4U,True
uT4-WVa-YfU,True
K-pGGb0f3tc,True
0TdBP9m4R74,True
zxOK2vKVfQM,True
DgMhayP2NPU,True
LuVUnd0C07U,True
5bDpqVGFVSE,True
wnUi611S6Is,True
HdrhfjfjsKA,True
iGWFJctnCuE,True
9E7zdaj3z98,True
fClXcSzbPDo,True
MDtQjObQ8yY,True
sxSfUFF1sFU,True
qWON7_KYEI0,True
QD2GcYAlatQ,True
UaH6CHaLvxw,True
87hYK8-TaoY,True
wpKnjr9_Vzs,True
VLrN6pxvfJ4,True
h-AtHZiQRjk,True
16DcuNKgvTk,True
cGZHm4adpeM,True
DrhE-n_jGpo,True
tk-LIUul1Rw,True
7EuMEcFQfWc,True
sypjpycrR7k,True
_e0el8asWgQ,True
6oK8392nq5c,True
v8vUVGXQhEQ,True
ebnX5Ur1hBk,True
fcgPYo3OtV0,True
P__ikPf-TI8,True
6Q-ESEmDf4Q,True
nEHNwdrbfGA,True
LHpr5ytssLo,True
_Z0wWY4lfyE,True
R3USEQ04kw0,True
Ofwt0l-4ips,True
l1RJcDjzK8M,True
E8Mju53VB00,True
6OBtO9niT00,True
zRq_3f4qrcU,True
eLAq8yzvu8Q,True
SukySTZ4tzc,True
gLwiPrwUDJ8,True
W8z2o0zV2SA,True
LPv1KfUXLCo,True
SQ3fZ1sAqXI,True
CDMuUsSkvao,True
JKbtWimlzAE,True
ptFiH_bHnJw,True
pA0ovKe1ePc,True
A7NL5wInFXY,True
UPMTffGZK-4,True
iyB2fyyFdw8,True
uH6mgxW6cuY,True
WKwiSpZxYKg,True
u2ksVfwB72g,True
LKaHf1IBzTQ,True
PRGbmaQbiYY,True
2Ke6fhTXvec,True
f6zgq8HpRh8,True
iUr_pHirpXc,True
L2cIxITKrNY,True
WL3c9TDq0L0,True
YNq1DnsD_Ks,True
RzIpCYzAOVU,True
7wQ6rRC9ohI,True
qUg-wYNmQxc,True
8q5TXnde9xc,True
Wj24ERWzPBw,True
9xKQPJL2b2I,True
kahyEh-JZxY,True
uml2fX7JDjI,True
rKBIJ3A9cxU,True
ONE07jONd8Y,True
B1VGJDjPVjY,True
17llPlHwnG8,True
e4nuJNg7wTU,True
OASgd8lsp2U,True
PZGm2UYPoLM,True
QbfzkLEv__Y,True
9fivUGONCw4,True
62_LxmltVg0,True
uPGJoDXep78,True
iFggjTOEm-M,True
OvAFP8wez-Q,True
cpqPozcT_54,True
ib4NNsp2qW4,True
j_ZTr88KrLI,True
miBUPm26sU4,True
x1cMUFKZ7x8,True
XR5kA_AUOss,True
eAGcNfQCBpU,True
1P-7Mi4JnOg,True
SXphwfDoENA,True
eT4umjGCeso,True
uezOrcmHzrQ,True
hKpa9ntjgeo,True
8ERFV7rV0vg,True
v7yKZzbyF74,True
Jw_ZPdnHGzg,True
FnRhnZbDprE,True
stpiBy6gWOA,True
ERAgUg-e_Qs,True
IFTBOUaUClE,True
ouTE-GYGIA8,True
be8BGCLuC54,True
ONdgXYEBihA,True
uz9jOIdhzs0,True
CHozRTwHInE,True
zkRxfmECWSM,True
0YkapBk9y5U,True
0Le7NgS-wO0,True
OqjFylGwAj8,True
OEGGz1sCS5w,True
DhZORrqL3xI,True
B09THPzM42c,True
n9lKcs-h7fg,True
Yp4ilFOtoeg,True
oJiiHAPXxL0,True
atQjdaTZsPY,True
t5vqVxnuKJ4,True
ZFNuCkJSsz8,True
FfvVucxNe0Q,True
72CyTqpSd14,True
Fs53QhJM9FA,True
suEm3uFJA2s,True
wAV2Lc8KyZU,True
pvUa7q6BvbE,True
B-yFC4n6nfA,True
knvv9SS8FIA,True
q9vo_UUoGjo,True
pRzkc6VExmQ,True
Ju92WkCZf6I,True
qFfYeFhAhmo,True
DNjiR7ODa-o,True
jEWB6aNQSbo,True
f1WotC2XvVM,True
HsmEl3P2vEM,True
x3O3VttNy6o,True
YCC4rMLOdbs,True
BRqZGw6JgGI,True
zeZddwimLc8,True
SC2eSujzrUY,True
Q56PMJbCFXQ,True
4LYlMqBXTJI,True
lcjdwSY2AzM,True
ZC98ZK6Ivug,True
_cr46G2K5Fo,True
DCiPrr-dQyw,True
20vUNgRdB4o,True
